"TIME","GEO","UNIT","DURATION","PARTNER","SEX","Value","Flag and Footnotes"
"2012","Belgium","Number","1 night or over","Domestic","Males","264,975",""
"2012","Belgium","Number","1 night or over","Domestic","Females","253,310",""
"2012","Bulgaria","Number","1 night or over","Domestic","Males","514,700",""
"2012","Bulgaria","Number","1 night or over","Domestic","Females","498,268",""
"2012","Czechia","Number","1 night or over","Domestic","Males","1,542,652",""
"2012","Czechia","Number","1 night or over","Domestic","Females","1,634,645",""
"2012","Denmark","Number","1 night or over","Domestic","Males","462,014","e"
"2012","Denmark","Number","1 night or over","Domestic","Females","496,947","e"
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Males","8,665,416",""
"2012","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Females","8,922,101",""
"2012","Estonia","Number","1 night or over","Domestic","Males","105,544",""
"2012","Estonia","Number","1 night or over","Domestic","Females","125,118",""
"2012","Ireland","Number","1 night or over","Domestic","Males","315,330",""
"2012","Ireland","Number","1 night or over","Domestic","Females","349,856",""
"2012","Greece","Number","1 night or over","Domestic","Males","1,471,106",""
"2012","Greece","Number","1 night or over","Domestic","Females","1,593,417",""
"2012","Spain","Number","1 night or over","Domestic","Males","7,893,795",""
"2012","Spain","Number","1 night or over","Domestic","Females","8,284,602",""
"2012","France","Number","1 night or over","Domestic","Males","12,311,288",""
"2012","France","Number","1 night or over","Domestic","Females","13,794,503",""
"2012","Croatia","Number","1 night or over","Domestic","Males","453,325","u"
"2012","Croatia","Number","1 night or over","Domestic","Females","493,628","u"
"2012","Italy","Number","1 night or over","Domestic","Males","9,225,692",""
"2012","Italy","Number","1 night or over","Domestic","Females","9,316,865",""
"2012","Cyprus","Number","1 night or over","Domestic","Males","100,663","e"
"2012","Cyprus","Number","1 night or over","Domestic","Females","102,344","e"
"2012","Latvia","Number","1 night or over","Domestic","Males","199,344",""
"2012","Latvia","Number","1 night or over","Domestic","Females","205,373",""
"2012","Lithuania","Number","1 night or over","Domestic","Males","302,081",""
"2012","Lithuania","Number","1 night or over","Domestic","Females","340,941",""
"2012","Luxembourg","Number","1 night or over","Domestic","Males","952",""
"2012","Luxembourg","Number","1 night or over","Domestic","Females","1,688",""
"2012","Hungary","Number","1 night or over","Domestic","Males","1,278,473",""
"2012","Hungary","Number","1 night or over","Domestic","Females","1,475,959",""
"2012","Malta","Number","1 night or over","Domestic","Males","37,253",""
"2012","Malta","Number","1 night or over","Domestic","Females","38,321",""
"2012","Netherlands","Number","1 night or over","Domestic","Males","1,569,244",""
"2012","Netherlands","Number","1 night or over","Domestic","Females","1,630,619",""
"2012","Austria","Number","1 night or over","Domestic","Males","656,048",""
"2012","Austria","Number","1 night or over","Domestic","Females","699,049",""
"2012","Poland","Number","1 night or over","Domestic","Males","5,050,000",""
"2012","Poland","Number","1 night or over","Domestic","Females","6,270,000",""
"2012","Portugal","Number","1 night or over","Domestic","Males","1,223,387",""
"2012","Portugal","Number","1 night or over","Domestic","Females","1,330,559",""
"2012","Romania","Number","1 night or over","Domestic","Males","1,848,399",""
"2012","Romania","Number","1 night or over","Domestic","Females","1,834,395",""
"2012","Slovenia","Number","1 night or over","Domestic","Males","127,984",""
"2012","Slovenia","Number","1 night or over","Domestic","Females","116,192",""
"2012","Slovakia","Number","1 night or over","Domestic","Males","460,612",""
"2012","Slovakia","Number","1 night or over","Domestic","Females","532,396",""
"2012","Finland","Number","1 night or over","Domestic","Males","716,719",""
"2012","Finland","Number","1 night or over","Domestic","Females","771,796",""
"2012","Sweden","Number","1 night or over","Domestic","Males",":","u"
"2012","Sweden","Number","1 night or over","Domestic","Females",":","u"
"2012","United Kingdom","Number","1 night or over","Domestic","Males","5,907,000",""
"2012","United Kingdom","Number","1 night or over","Domestic","Females","7,216,000",""
"2012","Iceland","Number","1 night or over","Domestic","Males",":",""
"2012","Iceland","Number","1 night or over","Domestic","Females",":",""
"2012","Norway","Number","1 night or over","Domestic","Males",":",""
"2012","Norway","Number","1 night or over","Domestic","Females",":",""
"2012","Switzerland","Number","1 night or over","Domestic","Males","417,509","u"
"2012","Switzerland","Number","1 night or over","Domestic","Females","399,062","u"
"2012","Montenegro","Number","1 night or over","Domestic","Males",":",""
"2012","Montenegro","Number","1 night or over","Domestic","Females",":",""
"2013","Belgium","Number","1 night or over","Domestic","Males","228,518",""
"2013","Belgium","Number","1 night or over","Domestic","Females","261,421",""
"2013","Bulgaria","Number","1 night or over","Domestic","Males","603,988",""
"2013","Bulgaria","Number","1 night or over","Domestic","Females","592,943",""
"2013","Czechia","Number","1 night or over","Domestic","Males","1,506,727",""
"2013","Czechia","Number","1 night or over","Domestic","Females","1,646,021",""
"2013","Denmark","Number","1 night or over","Domestic","Males","508,442",""
"2013","Denmark","Number","1 night or over","Domestic","Females","488,208",""
"2013","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Males","8,311,324",""
"2013","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Females","8,176,592",""
"2013","Estonia","Number","1 night or over","Domestic","Males","105,344",""
"2013","Estonia","Number","1 night or over","Domestic","Females","125,469",""
"2013","Ireland","Number","1 night or over","Domestic","Males","340,519",""
"2013","Ireland","Number","1 night or over","Domestic","Females","410,594",""
"2013","Greece","Number","1 night or over","Domestic","Males","1,251,758",""
"2013","Greece","Number","1 night or over","Domestic","Females","1,338,710",""
"2013","Spain","Number","1 night or over","Domestic","Males","8,091,181",""
"2013","Spain","Number","1 night or over","Domestic","Females","8,616,244",""
"2013","France","Number","1 night or over","Domestic","Males","12,168,018",""
"2013","France","Number","1 night or over","Domestic","Females","13,499,923",""
"2013","Croatia","Number","1 night or over","Domestic","Males","504,665",""
"2013","Croatia","Number","1 night or over","Domestic","Females","397,930",""
"2013","Italy","Number","1 night or over","Domestic","Males","7,792,860",""
"2013","Italy","Number","1 night or over","Domestic","Females","8,150,673",""
"2013","Cyprus","Number","1 night or over","Domestic","Males","85,614","e"
"2013","Cyprus","Number","1 night or over","Domestic","Females","103,182","e"
"2013","Latvia","Number","1 night or over","Domestic","Males","210,375",""
"2013","Latvia","Number","1 night or over","Domestic","Females","214,337",""
"2013","Lithuania","Number","1 night or over","Domestic","Males","335,562",""
"2013","Lithuania","Number","1 night or over","Domestic","Females","348,771",""
"2013","Luxembourg","Number","1 night or over","Domestic","Males","2,284",""
"2013","Luxembourg","Number","1 night or over","Domestic","Females","1,766",""
"2013","Hungary","Number","1 night or over","Domestic","Males","1,330,596",""
"2013","Hungary","Number","1 night or over","Domestic","Females","1,520,928",""
"2013","Malta","Number","1 night or over","Domestic","Males","24,752",""
"2013","Malta","Number","1 night or over","Domestic","Females","29,062",""
"2013","Netherlands","Number","1 night or over","Domestic","Males","1,640,557",""
"2013","Netherlands","Number","1 night or over","Domestic","Females","1,622,031",""
"2013","Austria","Number","1 night or over","Domestic","Males","659,147",""
"2013","Austria","Number","1 night or over","Domestic","Females","668,575",""
"2013","Poland","Number","1 night or over","Domestic","Males","6,320,000",""
"2013","Poland","Number","1 night or over","Domestic","Females","5,980,000",""
"2013","Portugal","Number","1 night or over","Domestic","Males","1,210,880",""
"2013","Portugal","Number","1 night or over","Domestic","Females","1,400,287",""
"2013","Romania","Number","1 night or over","Domestic","Males","2,015,248",""
"2013","Romania","Number","1 night or over","Domestic","Females","1,956,973",""
"2013","Slovenia","Number","1 night or over","Domestic","Males","102,760","e"
"2013","Slovenia","Number","1 night or over","Domestic","Females","120,868","e"
"2013","Slovakia","Number","1 night or over","Domestic","Males","558,657","b"
"2013","Slovakia","Number","1 night or over","Domestic","Females","693,725","b"
"2013","Finland","Number","1 night or over","Domestic","Males","655,474",""
"2013","Finland","Number","1 night or over","Domestic","Females","735,699",""
"2013","Sweden","Number","1 night or over","Domestic","Males",":",""
"2013","Sweden","Number","1 night or over","Domestic","Females",":",""
"2013","United Kingdom","Number","1 night or over","Domestic","Males","7,172,000",""
"2013","United Kingdom","Number","1 night or over","Domestic","Females","7,003,000",""
"2013","Iceland","Number","1 night or over","Domestic","Males",":",""
"2013","Iceland","Number","1 night or over","Domestic","Females",":",""
"2013","Norway","Number","1 night or over","Domestic","Males","322,220",""
"2013","Norway","Number","1 night or over","Domestic","Females","232,040",""
"2013","Switzerland","Number","1 night or over","Domestic","Males","285,071","u"
"2013","Switzerland","Number","1 night or over","Domestic","Females","387,145",""
"2013","Montenegro","Number","1 night or over","Domestic","Males",":",""
"2013","Montenegro","Number","1 night or over","Domestic","Females",":",""
"2014","Belgium","Number","1 night or over","Domestic","Males","194,595",""
"2014","Belgium","Number","1 night or over","Domestic","Females","246,259",""
"2014","Bulgaria","Number","1 night or over","Domestic","Males","716,762",""
"2014","Bulgaria","Number","1 night or over","Domestic","Females","714,012",""
"2014","Czechia","Number","1 night or over","Domestic","Males","1,798,071",""
"2014","Czechia","Number","1 night or over","Domestic","Females","2,008,768",""
"2014","Denmark","Number","1 night or over","Domestic","Males","546,559",""
"2014","Denmark","Number","1 night or over","Domestic","Females","519,278",""
"2014","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Males","8,016,551",""
"2014","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Females","8,054,372",""
"2014","Estonia","Number","1 night or over","Domestic","Males","131,246",""
"2014","Estonia","Number","1 night or over","Domestic","Females","150,493",""
"2014","Ireland","Number","1 night or over","Domestic","Males","351,237",""
"2014","Ireland","Number","1 night or over","Domestic","Females","345,155",""
"2014","Greece","Number","1 night or over","Domestic","Males","1,465,393",""
"2014","Greece","Number","1 night or over","Domestic","Females","1,596,669",""
"2014","Spain","Number","1 night or over","Domestic","Males","7,890,690",""
"2014","Spain","Number","1 night or over","Domestic","Females","8,293,983",""
"2014","France","Number","1 night or over","Domestic","Males","11,717,365",""
"2014","France","Number","1 night or over","Domestic","Females","13,243,783",""
"2014","Croatia","Number","1 night or over","Domestic","Males","520,790",""
"2014","Croatia","Number","1 night or over","Domestic","Females","570,818",""
"2014","Italy","Number","1 night or over","Domestic","Males","6,164,054","b"
"2014","Italy","Number","1 night or over","Domestic","Females","6,474,384","b"
"2014","Cyprus","Number","1 night or over","Domestic","Males","79,974","e"
"2014","Cyprus","Number","1 night or over","Domestic","Females","79,782","e"
"2014","Latvia","Number","1 night or over","Domestic","Males","189,169",""
"2014","Latvia","Number","1 night or over","Domestic","Females","204,912",""
"2014","Lithuania","Number","1 night or over","Domestic","Males","317,269",""
"2014","Lithuania","Number","1 night or over","Domestic","Females","379,670",""
"2014","Luxembourg","Number","1 night or over","Domestic","Males","307",""
"2014","Luxembourg","Number","1 night or over","Domestic","Females","1,435",""
"2014","Hungary","Number","1 night or over","Domestic","Males","1,338,869",""
"2014","Hungary","Number","1 night or over","Domestic","Females","1,534,950",""
"2014","Malta","Number","1 night or over","Domestic","Males","29,376",""
"2014","Malta","Number","1 night or over","Domestic","Females","28,668",""
"2014","Netherlands","Number","1 night or over","Domestic","Males","1,591,421",""
"2014","Netherlands","Number","1 night or over","Domestic","Females","1,717,147",""
"2014","Austria","Number","1 night or over","Domestic","Males","656,676",""
"2014","Austria","Number","1 night or over","Domestic","Females","691,522",""
"2014","Poland","Number","1 night or over","Domestic","Males","5,526,772",""
"2014","Poland","Number","1 night or over","Domestic","Females","6,380,948",""
"2014","Portugal","Number","1 night or over","Domestic","Males","1,203,940",""
"2014","Portugal","Number","1 night or over","Domestic","Females","1,410,783",""
"2014","Romania","Number","1 night or over","Domestic","Males","2,014,359",""
"2014","Romania","Number","1 night or over","Domestic","Females","1,915,961",""
"2014","Slovenia","Number","1 night or over","Domestic","Males","107,399","e"
"2014","Slovenia","Number","1 night or over","Domestic","Females","125,304","e"
"2014","Slovakia","Number","1 night or over","Domestic","Males","602,318",""
"2014","Slovakia","Number","1 night or over","Domestic","Females","602,382",""
"2014","Finland","Number","1 night or over","Domestic","Males","739,857",""
"2014","Finland","Number","1 night or over","Domestic","Females","710,942",""
"2014","Sweden","Number","1 night or over","Domestic","Males","1,049,470",""
"2014","Sweden","Number","1 night or over","Domestic","Females","1,076,380",""
"2014","United Kingdom","Number","1 night or over","Domestic","Males","6,821,200",""
"2014","United Kingdom","Number","1 night or over","Domestic","Females","6,455,900",""
"2014","Iceland","Number","1 night or over","Domestic","Males",":",""
"2014","Iceland","Number","1 night or over","Domestic","Females",":",""
"2014","Norway","Number","1 night or over","Domestic","Males",":",""
"2014","Norway","Number","1 night or over","Domestic","Females",":",""
"2014","Switzerland","Number","1 night or over","Domestic","Males","317,507",""
"2014","Switzerland","Number","1 night or over","Domestic","Females","332,051",""
"2014","Montenegro","Number","1 night or over","Domestic","Males",":",""
"2014","Montenegro","Number","1 night or over","Domestic","Females",":",""
"2015","Belgium","Number","1 night or over","Domestic","Males","221,976",""
"2015","Belgium","Number","1 night or over","Domestic","Females","278,459",""
"2015","Bulgaria","Number","1 night or over","Domestic","Males","763,235",""
"2015","Bulgaria","Number","1 night or over","Domestic","Females","772,535",""
"2015","Czechia","Number","1 night or over","Domestic","Males","1,766,223",""
"2015","Czechia","Number","1 night or over","Domestic","Females","1,855,532",""
"2015","Denmark","Number","1 night or over","Domestic","Males","506,450",""
"2015","Denmark","Number","1 night or over","Domestic","Females","532,166",""
"2015","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Males","7,803,031",""
"2015","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Females","8,766,999",""
"2015","Estonia","Number","1 night or over","Domestic","Males","124,292",""
"2015","Estonia","Number","1 night or over","Domestic","Females","135,969",""
"2015","Ireland","Number","1 night or over","Domestic","Males","345,099",""
"2015","Ireland","Number","1 night or over","Domestic","Females","364,103",""
"2015","Greece","Number","1 night or over","Domestic","Males","1,367,702",""
"2015","Greece","Number","1 night or over","Domestic","Females","1,510,708",""
"2015","Spain","Number","1 night or over","Domestic","Males","8,422,470","b"
"2015","Spain","Number","1 night or over","Domestic","Females","8,504,760","b"
"2015","France","Number","1 night or over","Domestic","Males","12,262,496",""
"2015","France","Number","1 night or over","Domestic","Females","13,268,199",""
"2015","Croatia","Number","1 night or over","Domestic","Males","542,082","b"
"2015","Croatia","Number","1 night or over","Domestic","Females","496,656","b"
"2015","Italy","Number","1 night or over","Domestic","Males","6,673,136",""
"2015","Italy","Number","1 night or over","Domestic","Females","7,341,152",""
"2015","Cyprus","Number","1 night or over","Domestic","Males","96,602","e"
"2015","Cyprus","Number","1 night or over","Domestic","Females","94,704","e"
"2015","Latvia","Number","1 night or over","Domestic","Males","188,597",""
"2015","Latvia","Number","1 night or over","Domestic","Females","210,495",""
"2015","Lithuania","Number","1 night or over","Domestic","Males","335,264",""
"2015","Lithuania","Number","1 night or over","Domestic","Females","385,018",""
"2015","Luxembourg","Number","1 night or over","Domestic","Males",":","c"
"2015","Luxembourg","Number","1 night or over","Domestic","Females",":","c"
"2015","Hungary","Number","1 night or over","Domestic","Males","1,249,847",""
"2015","Hungary","Number","1 night or over","Domestic","Females","1,458,849",""
"2015","Malta","Number","1 night or over","Domestic","Males","22,813",""
"2015","Malta","Number","1 night or over","Domestic","Females","25,879",""
"2015","Netherlands","Number","1 night or over","Domestic","Males","1,572,583",""
"2015","Netherlands","Number","1 night or over","Domestic","Females","1,598,393",""
"2015","Austria","Number","1 night or over","Domestic","Males","697,846",""
"2015","Austria","Number","1 night or over","Domestic","Females","646,733",""
"2015","Poland","Number","1 night or over","Domestic","Males","5,684,445",""
"2015","Poland","Number","1 night or over","Domestic","Females","6,379,360",""
"2015","Portugal","Number","1 night or over","Domestic","Males","1,280,061",""
"2015","Portugal","Number","1 night or over","Domestic","Females","1,467,324",""
"2015","Romania","Number","1 night or over","Domestic","Males","2,096,213",""
"2015","Romania","Number","1 night or over","Domestic","Females","1,972,212",""
"2015","Slovenia","Number","1 night or over","Domestic","Males","109,493",""
"2015","Slovenia","Number","1 night or over","Domestic","Females","108,185",""
"2015","Slovakia","Number","1 night or over","Domestic","Males","602,300",""
"2015","Slovakia","Number","1 night or over","Domestic","Females","659,976",""
"2015","Finland","Number","1 night or over","Domestic","Males","635,515",""
"2015","Finland","Number","1 night or over","Domestic","Females","622,675",""
"2015","Sweden","Number","1 night or over","Domestic","Males","965,374",""
"2015","Sweden","Number","1 night or over","Domestic","Females","1,179,251",""
"2015","United Kingdom","Number","1 night or over","Domestic","Males","6,309,200",""
"2015","United Kingdom","Number","1 night or over","Domestic","Females","6,876,900",""
"2015","Iceland","Number","1 night or over","Domestic","Males",":",""
"2015","Iceland","Number","1 night or over","Domestic","Females",":",""
"2015","Norway","Number","1 night or over","Domestic","Males",":",""
"2015","Norway","Number","1 night or over","Domestic","Females",":",""
"2015","Switzerland","Number","1 night or over","Domestic","Males","336,297",""
"2015","Switzerland","Number","1 night or over","Domestic","Females","336,763",""
"2015","Montenegro","Number","1 night or over","Domestic","Males",":",""
"2015","Montenegro","Number","1 night or over","Domestic","Females",":",""
"2016","Belgium","Number","1 night or over","Domestic","Males","200,949",""
"2016","Belgium","Number","1 night or over","Domestic","Females","193,040",""
"2016","Bulgaria","Number","1 night or over","Domestic","Males","850,677",""
"2016","Bulgaria","Number","1 night or over","Domestic","Females","771,807",""
"2016","Czechia","Number","1 night or over","Domestic","Males","1,795,893",""
"2016","Czechia","Number","1 night or over","Domestic","Females","1,828,681",""
"2016","Denmark","Number","1 night or over","Domestic","Males","486,349",""
"2016","Denmark","Number","1 night or over","Domestic","Females","582,941",""
"2016","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Males","7,163,564",""
"2016","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Females","7,960,690",""
"2016","Estonia","Number","1 night or over","Domestic","Males","123,224",""
"2016","Estonia","Number","1 night or over","Domestic","Females","134,157",""
"2016","Ireland","Number","1 night or over","Domestic","Males","300,187",""
"2016","Ireland","Number","1 night or over","Domestic","Females","333,217",""
"2016","Greece","Number","1 night or over","Domestic","Males","1,303,149",""
"2016","Greece","Number","1 night or over","Domestic","Females","1,444,283",""
"2016","Spain","Number","1 night or over","Domestic","Males","8,659,748",""
"2016","Spain","Number","1 night or over","Domestic","Females","8,928,282",""
"2016","France","Number","1 night or over","Domestic","Males","13,055,349",""
"2016","France","Number","1 night or over","Domestic","Females","11,783,037",""
"2016","Croatia","Number","1 night or over","Domestic","Males","554,233",""
"2016","Croatia","Number","1 night or over","Domestic","Females","503,371",""
"2016","Italy","Number","1 night or over","Domestic","Males","6,684,623",""
"2016","Italy","Number","1 night or over","Domestic","Females","6,978,586",""
"2016","Cyprus","Number","1 night or over","Domestic","Males","85,276","e"
"2016","Cyprus","Number","1 night or over","Domestic","Females","87,808","e"
"2016","Latvia","Number","1 night or over","Domestic","Males","196,153",""
"2016","Latvia","Number","1 night or over","Domestic","Females","216,881",""
"2016","Lithuania","Number","1 night or over","Domestic","Males","322,535",""
"2016","Lithuania","Number","1 night or over","Domestic","Females","364,197",""
"2016","Luxembourg","Number","1 night or over","Domestic","Males",":","c"
"2016","Luxembourg","Number","1 night or over","Domestic","Females",":","c"
"2016","Hungary","Number","1 night or over","Domestic","Males","1,332,514",""
"2016","Hungary","Number","1 night or over","Domestic","Females","1,481,166",""
"2016","Malta","Number","1 night or over","Domestic","Males","29,263",""
"2016","Malta","Number","1 night or over","Domestic","Females","23,859",""
"2016","Netherlands","Number","1 night or over","Domestic","Males","1,426,960",""
"2016","Netherlands","Number","1 night or over","Domestic","Females","1,750,738",""
"2016","Austria","Number","1 night or over","Domestic","Males","709,248",""
"2016","Austria","Number","1 night or over","Domestic","Females","654,769",""
"2016","Poland","Number","1 night or over","Domestic","Males","6,029,511",""
"2016","Poland","Number","1 night or over","Domestic","Females","6,823,815",""
"2016","Portugal","Number","1 night or over","Domestic","Males","1,308,821",""
"2016","Portugal","Number","1 night or over","Domestic","Females","1,526,920",""
"2016","Romania","Number","1 night or over","Domestic","Males","1,914,032",""
"2016","Romania","Number","1 night or over","Domestic","Females","1,785,377",""
"2016","Slovenia","Number","1 night or over","Domestic","Males","104,057",""
"2016","Slovenia","Number","1 night or over","Domestic","Females","120,995",""
"2016","Slovakia","Number","1 night or over","Domestic","Males","779,336",""
"2016","Slovakia","Number","1 night or over","Domestic","Females","744,438",""
"2016","Finland","Number","1 night or over","Domestic","Males","694,069",""
"2016","Finland","Number","1 night or over","Domestic","Females","633,893",""
"2016","Sweden","Number","1 night or over","Domestic","Males","1,125,835",""
"2016","Sweden","Number","1 night or over","Domestic","Females","1,198,391",""
"2016","United Kingdom","Number","1 night or over","Domestic","Males","6,870,000",""
"2016","United Kingdom","Number","1 night or over","Domestic","Females","6,502,020",""
"2016","Iceland","Number","1 night or over","Domestic","Males",":",""
"2016","Iceland","Number","1 night or over","Domestic","Females",":",""
"2016","Norway","Number","1 night or over","Domestic","Males",":",""
"2016","Norway","Number","1 night or over","Domestic","Females",":",""
"2016","Switzerland","Number","1 night or over","Domestic","Males","333,560",""
"2016","Switzerland","Number","1 night or over","Domestic","Females","296,102",""
"2016","Montenegro","Number","1 night or over","Domestic","Males",":","c"
"2016","Montenegro","Number","1 night or over","Domestic","Females",":","c"
"2017","Belgium","Number","1 night or over","Domestic","Males","312,025","b"
"2017","Belgium","Number","1 night or over","Domestic","Females","318,960","b"
"2017","Bulgaria","Number","1 night or over","Domestic","Males","934,396",""
"2017","Bulgaria","Number","1 night or over","Domestic","Females","886,634",""
"2017","Czechia","Number","1 night or over","Domestic","Males","1,708,520",""
"2017","Czechia","Number","1 night or over","Domestic","Females","1,752,286",""
"2017","Denmark","Number","1 night or over","Domestic","Males",":",""
"2017","Denmark","Number","1 night or over","Domestic","Females",":",""
"2017","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Males","6,994,607",""
"2017","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Females","6,685,440",""
"2017","Estonia","Number","1 night or over","Domestic","Males","121,112",""
"2017","Estonia","Number","1 night or over","Domestic","Females","120,967",""
"2017","Ireland","Number","1 night or over","Domestic","Males","356,048",""
"2017","Ireland","Number","1 night or over","Domestic","Females","356,556",""
"2017","Greece","Number","1 night or over","Domestic","Males","1,463,053",""
"2017","Greece","Number","1 night or over","Domestic","Females","1,610,517",""
"2017","Spain","Number","1 night or over","Domestic","Males","8,446,661",""
"2017","Spain","Number","1 night or over","Domestic","Females","8,545,945",""
"2017","France","Number","1 night or over","Domestic","Males","12,172,893",""
"2017","France","Number","1 night or over","Domestic","Females","13,319,292",""
"2017","Croatia","Number","1 night or over","Domestic","Males","454,765",""
"2017","Croatia","Number","1 night or over","Domestic","Females","449,232",""
"2017","Italy","Number","1 night or over","Domestic","Males","6,397,415",""
"2017","Italy","Number","1 night or over","Domestic","Females","6,747,957",""
"2017","Cyprus","Number","1 night or over","Domestic","Males","82,352","e"
"2017","Cyprus","Number","1 night or over","Domestic","Females","87,810","e"
"2017","Latvia","Number","1 night or over","Domestic","Males","186,111",""
"2017","Latvia","Number","1 night or over","Domestic","Females","202,132",""
"2017","Lithuania","Number","1 night or over","Domestic","Males","324,680",""
"2017","Lithuania","Number","1 night or over","Domestic","Females","353,400",""
"2017","Luxembourg","Number","1 night or over","Domestic","Males",":",""
"2017","Luxembourg","Number","1 night or over","Domestic","Females",":",""
"2017","Hungary","Number","1 night or over","Domestic","Males",":",""
"2017","Hungary","Number","1 night or over","Domestic","Females",":",""
"2017","Malta","Number","1 night or over","Domestic","Males","30,032",""
"2017","Malta","Number","1 night or over","Domestic","Females","24,319",""
"2017","Netherlands","Number","1 night or over","Domestic","Males","1,393,204",""
"2017","Netherlands","Number","1 night or over","Domestic","Females","1,578,850",""
"2017","Austria","Number","1 night or over","Domestic","Males","641,437",""
"2017","Austria","Number","1 night or over","Domestic","Females","662,971",""
"2017","Poland","Number","1 night or over","Domestic","Males","6,143,697",""
"2017","Poland","Number","1 night or over","Domestic","Females","7,184,489",""
"2017","Portugal","Number","1 night or over","Domestic","Males","1,238,992",""
"2017","Portugal","Number","1 night or over","Domestic","Females","1,467,674",""
"2017","Romania","Number","1 night or over","Domestic","Males","2,121,131",""
"2017","Romania","Number","1 night or over","Domestic","Females","1,976,632",""
"2017","Slovenia","Number","1 night or over","Domestic","Males","96,492",""
"2017","Slovenia","Number","1 night or over","Domestic","Females","88,254",""
"2017","Slovakia","Number","1 night or over","Domestic","Males","741,380",""
"2017","Slovakia","Number","1 night or over","Domestic","Females","833,185",""
"2017","Finland","Number","1 night or over","Domestic","Males","607,251",""
"2017","Finland","Number","1 night or over","Domestic","Females","656,800",""
"2017","Sweden","Number","1 night or over","Domestic","Males","764,728",""
"2017","Sweden","Number","1 night or over","Domestic","Females","651,425",""
"2017","United Kingdom","Number","1 night or over","Domestic","Males",":",""
"2017","United Kingdom","Number","1 night or over","Domestic","Females",":",""
"2017","Iceland","Number","1 night or over","Domestic","Males",":",""
"2017","Iceland","Number","1 night or over","Domestic","Females",":",""
"2017","Norway","Number","1 night or over","Domestic","Males",":",""
"2017","Norway","Number","1 night or over","Domestic","Females",":",""
"2017","Switzerland","Number","1 night or over","Domestic","Males",":",""
"2017","Switzerland","Number","1 night or over","Domestic","Females",":",""
"2017","Montenegro","Number","1 night or over","Domestic","Males",":",""
"2017","Montenegro","Number","1 night or over","Domestic","Females",":",""
